Propellants,Injector Type,Geometry: Nozzle/Restriction Ach/At,Geometry: Chamber Length [in],Geometry: Combustor Area [in2],Geometry: Channel Gap [in],Gap-to-Length Ratio,Equivalence Ratio,Total Mass Flow Rate [lbm/s],Mass Flux [lbm/s-in2],Wave Speed [ft/s],Number of Waves,Chamber Pressure [psig],Thrust [lbf],Specific Impulse [s],Wave Efficiency,Theoretical Wave Speed [ft/s],Characteristic Velocity [ft/s],Chamber Pressure [psia]
Propane & Oxygen,Shear-Coaxial,4.706307434,4,6.452654523,0.3,0.075,1.82,0.784,0.1215,3280,,73.2,,,37%,8750.00028,4143.8237,87.9
Propane & Oxygen,Shear-Coaxial,4.706307434,4,6.452654523,0.3,0.075,1.82,0.785,0.1217,3513,,73.1,,,40%,8750.00028,4139.706,87.8
Propane & Oxygen,Shear-Coaxial,4.706307434,4,6.452654523,0.3,0.075,1.32,0.7,0.1085,3470,,63.8,,,41%,8423.228616,4054.9468,78.5
Propane & Oxygen,Shear-Coaxial,4.706307434,4,6.452654523,0.3,0.075,1.03,0.659,0.1021,3506,,54.6,,,44%,8025.918892,3682.12,69.3
Propane & Oxygen,Shear-Coaxial,4.706307434,4,6.452654523,0.3,0.075,1.67,0.749,0.1161,3325,,67.4,,,38%,8701.115764,3997.5,82.1
Propane & Oxygen,Shear-Coaxial,4.706307434,4,6.452654523,0.3,0.075,1.22,0.681,0.1055,3337,,58.2,,,40%,8309.383468,3797.5122,72.9
Propane & Oxygen,Shear-Coaxial,4.706307434,4,6.452654523,0.3,0.075,1.59,0.73,0.1131,3527,,64.2,,,41%,8655.512088,3908.893,78.9
Propane & Oxygen,Shear-Coaxial,4.706307434,4,6.452654523,0.3,0.075,2.21,0.799,0.1238,3527,,70.6,,,41%,8663.05802,3925.6455,85.3
Propane & Oxygen,Shear-Coaxial,4.706307434,4,6.452654523,0.3,0.075,1.04,1.028,0.1593,3199,,87.1,,,40%,8079.0685,4315.3965,101.8
Propane & Oxygen,Shear-Coaxial,4.706307434,4,6.452654523,0.3,0.075,2.13,1.209,0.1874,3255,,111.1,,,37%,8727.362484,4085.8618,125.8
Propane & Oxygen,Shear-Coaxial,4.706307434,4,6.452654523,0.3,0.075,1.34,0.676,0.1048,3445,,55.7,,,41%,8429.134128,3655.429,70.4
Propane & Oxygen,Shear-Coaxial,4.706307434,4,6.452654523,0.3,0.075,1.71,0.677,0.1049,3504,,62.3,,,40%,8708.333612,4085.7354,77
Propane & Oxygen,Shear-Coaxial,4.706307434,4,6.452654523,0.3,0.075,1.87,0.761,0.1179,3477,,71.9,,,40%,8751.968784,4199.3096,86.6
Propane & Oxygen,Shear-Coaxial,4.706307434,4,6.452654523,0.3,0.075,2.08,0.79,0.1224,3510,,72.6,,,40%,8720.144636,4086.1968,87.3
Propane & Oxygen,Shear-Coaxial,4.706307434,4,6.452654523,0.3,0.075,2.21,0.94,0.1457,3474,,87.1,,,40%,8674.212876,4115.637,101.8
Propane & Oxygen,Shear-Coaxial,4.706307434,4,6.452654523,0.3,0.075,1.84,0.744,0.1153,3484,,69.1,,,40%,8746.71944,4127.1855,83.8
Propane & Oxygen,Shear-Coaxial,4.706307434,4,6.452654523,0.3,0.075,1.75,0.713,0.1105,3456,,66.4,,,40%,8727.0344,4141.4624,81.1
Propane & Oxygen,Shear-Coaxial,4.706307434,4,6.452654523,0.3,0.075,1.73,0.948,0.1469,3538,,91.4,,,40%,8753.28112,4282.4263,106.1
Propane & Oxygen,Shear-Coaxial,4.706307434,4,6.452654523,0.3,0.075,1.65,0.952,0.1475,3495,,92.4,,,40%,8726.378232,4216.569,107.1
Propane & Oxygen,Shear-Coaxial,4.706307434,4,6.452654523,0.3,0.075,1.86,0.951,0.1474,3549,,91.4,,,40%,8772.638076,4280.376,106.1
Propane & Oxygen,Shear-Coaxial,4.706307434,4,6.452654523,0.3,0.075,2,0.952,0.1475,3542,,90.4,,,40%,8757.546212,4274.2114,105.1
Propane & Oxygen,Shear-Coaxial,4.706307434,4,6.452654523,0.3,0.075,1.87,0.74,0.1147,3553,,68.3,,,41%,8747.703692,4102.459,83
Methane & Oxygen,Shear-Coaxial,1,4,6.452654523,0.3,0.075,1.54,0.446,0.0691,4608,4,,,,54%,8502,1224,14.7
Methane & Oxygen,Shear-Coaxial,1,4,6.452654523,0.3,0.075,1.57,0.447,0.0693,4602,4,,,,54%,8523,1221,14.7
Methane & Oxygen,Shear-Coaxial,1,4,6.452654523,0.3,0.075,1.83,0.343,0.0532,4500,4,,,,52%,8638,1833,14.7
Methane & Oxygen,Shear-Coaxial,1,4,6.452654523,0.3,0.075,1.73,0.226,0.0351,4568,4,,,,53%,8609,2413,14.7
Methane & Oxygen,Shear-Coaxial,1,4,6.452654523,0.3,0.075,1.72,0.227,0.0352,4679,4,,,,54%,8605,2406,14.7
Methane & Oxygen,Shear-Coaxial,1,4,6.452654523,0.3,0.075,1.92,0.247,0.0383,4339,4,,,,50%,8650,2211,14.7
Methane & Oxygen,Shear-Coaxial,1,4,6.452654523,0.3,0.075,1.72,0.189,0.0293,4540,4,,,,53%,8605,2889,14.7
Methane & Oxygen,Shear-Coaxial,1,4,6.452654523,0.3,0.075,1.33,0.106,0.0164,3857,8,,,,46%,8306,5158,14.7
Methane & Oxygen,Shear-Coaxial,1,4,6.452654523,0.3,0.075,0.63,0.223,0.0346,4116,6,,,,58%,7098,2447,14.7
Methane & Oxygen,Shear-Coaxial,1,4,6.452654523,0.3,0.075,0.65,0.207,0.0321,4113,6,,,,58%,7146,2637,14.7
Methane & Oxygen,Shear-Coaxial,1,4,6.452654523,0.3,0.075,0.7,0.316,0.049,3779,6,,,,52%,7261,1726,14.7
Methane & Oxygen,Shear-Coaxial,1,4,6.452654523,0.3,0.075,0.87,0.2,0.031,3835,6,,,,50%,7613,2729,14.7
Methane & Oxygen,Shear-Coaxial,1,4,6.452654523,0.3,0.075,0.98,0.222,0.0344,4033,6,,,,52%,7811,2459,14.7
Methane & Oxygen,Shear-Coaxial,1,4,6.452654523,0.3,0.075,1.02,0.205,0.0317,4033,6,,,,51%,7878,2668,14.7
Methane & Oxygen,Shear-Coaxial,1,4,6.452654523,0.3,0.075,1.05,0.336,0.052,4067,6,,,,51%,7927,1626,14.7
